topology,flow_pairs_id,mode,variant,base_pps,burst_pps,burst_start_ms,burst_end_ms,burst_jitter_ms,policy,seed,delivery_ratio,goodput_mbps,p95_latency_ms,delivery_burst,p95_latency_burst,goodput_burst_mbps,service_ratio_bits
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,ecmp,4,1.0,15.3,201.77791784593597,1.0,181.1905492988021,18.48,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,HIER_STAGE3,4,1.0,15.3,36.13609602069746,1.0,39.41653637093026,18.48,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,PPO_CANDIDATE,4,0.9756862745098039,14.928,112.79883664371698,0.9761904761904762,134.40000000000043,18.04,0.9761904761904762
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,sp,5,0.7174560216508795,10.604,538.3805365747342,0.6487747957992999,539.9533806068854,11.12,0.6487747957992999
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,ecmp,5,1.0,14.78,158.2614887929657,1.0,177.9739757827162,17.14,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,HIER_STAGE3,5,1.0,14.78,41.116272299799654,1.0,44.79999999999927,17.14,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,PPO_CANDIDATE,5,0.9769959404600812,14.44,101.07027797778922,0.9789964994165694,100.79999999999836,16.78,0.9789964994165694
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,sp,6,0.7280108254397835,10.76,527.4418357740279,0.6473372781065089,536.5554894268619,10.94,0.6473372781065089
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,ecmp,6,1.0,14.78,101.48110876189675,1.0,108.73569451513085,16.9,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,HIER_STAGE3,6,1.0,14.78,36.8926518397636,1.0,45.57746182716146,16.9,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,PPO_CANDIDATE,6,0.9737483085250338,14.392,112.63054064575314,0.9739644970414201,112.8904881050493,16.46,0.9739644970414201
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,sp,7,0.7143977005487326,10.936,577.1796810717949,0.6501650165016502,584.6277966565199,11.82,0.6501650165016502
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,ecmp,7,1.0,15.308,170.56633467784772,1.0,157.87634930914646,18.18,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,HIER_STAGE3,7,1.0,15.308,44.80000000000018,1.0,46.999696860981416,18.18,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,PPO_CANDIDATE,7,0.975176378364254,14.928,100.80000000000041,0.977997799779978,134.48274916416594,17.78,0.977997799779978
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,sp,8,0.7281299109481404,11.12,551.9613272289024,0.6707466340269278,544.6717468023324,10.96,0.6707466340269278
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,ecmp,8,1.0,15.272,112.70134027640219,1.0,116.90905927150546,16.34,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,HIER_STAGE3,8,1.0,15.272,37.70481690537007,1.0,36.18463099032501,16.34,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,PPO_CANDIDATE,8,0.9759036144578314,14.904,112.3384029193885,0.9755201958384333,145.59999999999823,15.94,0.9755201958384333
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,sp,9,0.7297297297297297,11.124,589.9751066846525,0.6463276836158192,567.4983755634292,11.44,0.6463276836158192
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,ecmp,9,1.0,15.244,139.3497753850213,1.0,123.88891792091007,17.7,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,HIER_STAGE3,9,1.0,15.244,36.57360612769526,1.0,44.79999999999927,17.7,1.0
NSFNET,0-4_1-4_3-12,light,burst,400.0,483.0,1700.0,2300.0,0.0,PPO_CANDIDATE,9,0.9737601679349253,14.844,111.99999999999852,0.9706214689265537,134.45389896319801,17.18,0.9706214689265537
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,sp,0,0.7194302606826122,10.708,492.7645806056027,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,ecmp,0,1.0,14.884,62.82231703824789,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,HIER_STAGE3,0,1.0,14.884,36.74876810807655,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,PPO_CANDIDATE,0,0.9707067992475141,14.448,72.65618850494111,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,sp,1,0.7093425605536332,10.66,486.313695371881,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,ecmp,1,1.0,15.028,62.32677020932251,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,HIER_STAGE3,1,1.0,15.028,44.79999999999927,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,PPO_CANDIDATE,1,0.972318339100346,14.612,67.20000000000027,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,sp,2,0.7203145478374836,10.992,558.3812944852517,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,ecmp,2,1.0,15.26,92.82895580377412,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,HIER_STAGE3,2,1.0,15.26,35.97609339074049,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,PPO_CANDIDATE,2,0.9719528178243775,14.832,67.20000000000027,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,sp,3,0.7132997079904433,10.748,536.9596931107022,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,ecmp,3,1.0,15.068,93.95326180777872,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,HIER_STAGE3,3,1.0,15.068,44.69372164081592,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,PPO_CANDIDATE,3,0.9713299707990444,14.636,78.45435549779816,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,sp,4,0.7200311364815776,11.1,549.6263839798843,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,ecmp,4,1.0,15.416,137.02858911775223,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,HIER_STAGE3,4,1.0,15.416,35.95242178109172,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,PPO_CANDIDATE,4,0.9693824597820446,14.944,67.20000000000027,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,sp,5,0.7045088566827697,10.5,529.0766189338041,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,ecmp,5,1.0,14.904,158.4306590247137,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,HIER_STAGE3,5,1.0,14.904,37.10253529368546,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,PPO_CANDIDATE,5,0.9720880300590445,14.488,67.2820818368321,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,sp,6,0.7189174705251876,10.732,508.06250120380247,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,ecmp,6,1.0,14.928,85.47153684779897,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,HIER_STAGE3,6,1.0,14.928,38.55317745102696,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,PPO_CANDIDATE,6,0.9705251875669882,14.488,78.39999999999873,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,sp,7,0.7021497021497022,10.844,549.522116683893,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,ecmp,7,1.0,15.444,169.43069916936383,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,HIER_STAGE3,7,1.0,15.444,38.41185509612342,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,PPO_CANDIDATE,7,0.9712509712509713,15.0,68.0944173678539,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,sp,8,0.706111833550065,10.86,501.71152198423675,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,ecmp,8,1.0,15.38,132.30695617645569,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,HIER_STAGE3,8,1.0,15.38,44.79999999999927,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,PPO_CANDIDATE,8,0.9719115734720416,14.948,78.40146566536195,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,sp,9,0.7178217821782178,11.02,572.7958136020217,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,ecmp,9,1.0,15.352,145.89956086243032,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,HIER_STAGE3,9,1.0,15.352,38.46167249829074,,,,
NSFNET,0-4_1-4_3-12,medium,static,420.0,420.0,,,0.0,PPO_CANDIDATE,9,0.97107868681605,14.908,78.39999999999873,,,,
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,sp,0,0.7172236503856041,11.16,607.4175560140793,0.6322722283205269,577.1541796428194,11.52,0.6322722283205269
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,ecmp,0,1.0,15.56,180.79431856819414,1.0,164.5558387671797,18.22,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,HIER_STAGE3,0,1.0,15.56,45.095485239534455,1.0,56.020810436232864,18.22,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,PPO_CANDIDATE,0,0.9691516709511568,15.08,78.78612413586416,0.960482985729967,104.91770842917812,17.5,0.960482985729967
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,sp,1,0.7110091743119266,11.16,622.1055384935171,0.6475225225225225,600.1028971114773,11.5,0.6475225225225225
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,ecmp,1,1.0,15.696,181.56086413454776,1.0,146.45554052773423,17.76,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,HIER_STAGE3,1,0.9997451580020388,15.692,44.80000000000018,0.9988738738738738,67.20000000000027,17.74,0.9988738738738738
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,PPO_CANDIDATE,1,0.9696738022426096,15.22,78.39999999999873,0.9662162162162162,100.79999999999856,17.16,0.9662162162162162
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,sp,2,0.7014812955059001,11.176,605.0245942213437,0.6053215077605322,565.1544067547684,10.92,0.6053215077605322
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,ecmp,2,1.0,15.932,205.72176715241244,1.0,179.246161610651,18.04,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,HIER_STAGE3,2,1.0,15.932,46.426779937225135,1.0,67.20000000000027,18.04,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,PPO_CANDIDATE,2,0.9713783580215918,15.476,78.39999999999873,0.9733924611973392,79.00869468370652,17.56,0.9733924611973392
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,sp,3,0.6942106605457792,10.888,612.1474648147187,0.6320441988950276,574.1238056917325,11.44,0.6320441988950276
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,ecmp,3,1.0,15.684,242.12022651227517,1.0,175.54630206077726,18.1,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,HIER_STAGE3,3,1.0,15.684,44.80000000000041,1.0,45.773345587713536,18.1,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,PPO_CANDIDATE,3,0.9711808212190768,15.232,78.40000000000032,0.969060773480663,100.79999999999836,17.54,0.969060773480663
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,sp,4,0.7234678624813154,11.616,699.465191936925,0.6150670794633643,666.9053352954245,11.92,0.6150670794633643
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,ecmp,4,1.0,16.056,276.2241356085002,1.0,243.46588373283467,19.38,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,HIER_STAGE3,4,1.0,16.056,46.792459708814995,1.0,71.19398325496753,19.38,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,PPO_CANDIDATE,4,0.9711011459890384,15.592,78.40000000000032,0.9731682146542827,90.11032637305574,18.86,0.9731682146542827
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,sp,5,0.7018761243896171,10.924,624.6633853460712,0.6208853575482406,631.4467223119382,10.94,0.6208853575482406
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,ecmp,5,1.0,15.564,248.20967007359104,1.0,256.90852026349285,17.62,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,HIER_STAGE3,5,1.0,15.564,48.35210210322407,1.0,58.747434710344805,17.62,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,PPO_CANDIDATE,5,0.9704446157800052,15.104,78.39999999999912,0.9727582292849035,111.99999999999818,17.14,0.9727582292849035
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,sp,6,0.716313887454827,11.1,605.0755088039966,0.6681922196796338,599.232742609329,11.68,0.6681922196796338
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,ecmp,6,1.0,15.496,172.98077063870755,1.0,166.4884988574778,17.48,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,HIER_STAGE3,6,1.0,15.496,44.80000000000018,1.0,44.84010971140299,17.48,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,PPO_CANDIDATE,6,0.9721218378936499,15.064,78.4000000000004,0.9736842105263158,117.73991783296344,17.02,0.9736842105263158
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,sp,7,0.7029802153769096,11.228,675.5921908480484,0.6570545829042225,641.1181381688738,12.76,0.6570545829042225
