topology,flow_pairs_id,flows,variant,base_pps,burst_pps,burst_start_ms,burst_end_ms,policy,seed,delivery_ratio,goodput_mbps,p95_latency_ms,delivery_burst,p95_latency_burst,goodput_burst_mbps,service_ratio_bits
NSFNET,0-4_1-4_3-12,9,static,480.0,580.0,,,SP,2,0.20524986607484502,10.728,1285.4550260757405,,,,
NSFNET,0-4_1-4_3-12,9,static,480.0,580.0,,,ECMP,2,0.4169281395882758,21.792,868.0699268822026,,,,
NSFNET,0-4_1-4_3-12,9,static,480.0,580.0,,,HIER_STAGE3,2,0.61199969388536,31.988,797.9132036185352,,,,
NSFNET,0-4_1-4_3-12,9,static,480.0,580.0,,,PPO_CANDIDATE,2,0.8077600061222928,42.22,1132.5574004562075,,,,
NSFNET,0-4_1-4_3-12,9,static,480.0,580.0,,,SP,3,0.20952306854430872,10.772,1285.3913275285563,,,,
NSFNET,0-4_1-4_3-12,9,static,480.0,580.0,,,ECMP,3,0.4245701392670972,21.828,868.1121736410253,,,,
NSFNET,0-4_1-4_3-12,9,static,480.0,580.0,,,HIER_STAGE3,3,0.6116859877071501,31.448,721.2364152298501,,,,
NSFNET,0-4_1-4_3-12,9,static,480.0,580.0,,,PPO_CANDIDATE,3,0.8203532249280324,42.176,1143.0614280013851,,,,
NSFNET,0-4_1-4_3-12,9,static,480.0,580.0,,,SP,4,0.2060517625374395,10.732,1285.4182231233403,,,,
NSFNET,0-4_1-4_3-12,9,static,480.0,580.0,,,ECMP,4,0.41863144151754855,21.804,868.1530828937335,,,,
NSFNET,0-4_1-4_3-12,9,static,480.0,580.0,,,HIER_STAGE3,4,0.613470547576991,31.952,795.1031865081634,,,,
NSFNET,0-4_1-4_3-12,9,static,480.0,580.0,,,PPO_CANDIDATE,4,0.8188311189616773,42.648,1170.7836957415975,,,,
NSFNET,0-4_1-4_3-12,9,burst,480.0,580.0,1700.0,2300.0,SP,0,0.19666715607106153,10.716,1285.449846822391,0.16620752984389348,1285.4714450410588,10.86,0.16620752984389348
NSFNET,0-4_1-4_3-12,9,burst,480.0,580.0,1700.0,2300.0,ECMP,0,0.3999412714726178,21.792,868.366041800699,0.3501683501683502,868.8399023268045,22.88,0.3501683501683502
NSFNET,0-4_1-4_3-12,9,burst,480.0,580.0,1700.0,2300.0,HIER_STAGE3,0,0.5871384525033034,31.992,869.0268382842443,0.5090296908478726,868.007904380067,33.26,0.5090296908478726
NSFNET,0-4_1-4_3-12,9,burst,480.0,580.0,1700.0,2300.0,PPO_CANDIDATE,0,0.780942592864484,42.552,1180.0016792026663,0.6792164064891337,1240.665196678755,44.38,0.6792164064891337
NSFNET,0-4_1-4_3-12,9,burst,480.0,580.0,1700.0,2300.0,SP,1,0.1979751699674845,10.716,1285.4488643957816,0.17015873015873015,1285.5003520730809,10.72,0.17015873015873015
NSFNET,0-4_1-4_3-12,9,burst,480.0,580.0,1700.0,2300.0,ECMP,1,0.4043748152527343,21.888,868.2948972312182,0.37396825396825395,868.555501886968,23.56,0.37396825396825395
NSFNET,0-4_1-4_3-12,9,burst,480.0,580.0,1700.0,2300.0,HIER_STAGE3,1,0.5919302394324564,32.04,867.9732712437702,0.5292063492063492,857.4108347825312,33.34,0.5292063492063492
NSFNET,0-4_1-4_3-12,9,burst,480.0,580.0,1700.0,2300.0,PPO_CANDIDATE,1,0.7819243275199527,42.324,1156.4192602076828,0.686984126984127,1224.7229752254025,43.28,0.686984126984127
NSFNET,0-4_1-4_3-12,9,burst,480.0,580.0,1700.0,2300.0,SP,2,0.19746723604771022,10.728,1285.4436396729286,0.16892725030826142,1285.4432038300147,10.96,0.16892725030826142
NSFNET,0-4_1-4_3-12,9,burst,480.0,580.0,1700.0,2300.0,ECMP,2,0.4010455013989103,21.788,868.2514416594576,0.3477188655980271,869.0161856814361,22.56,0.3477188655980271
NSFNET,0-4_1-4_3-12,9,burst,480.0,580.0,1700.0,2300.0,HIER_STAGE3,2,0.5903401560889412,32.072,868.4088442747592,0.4898273736128237,867.1363822919942,31.78,0.4898273736128237
NSFNET,0-4_1-4_3-12,9,burst,480.0,580.0,1700.0,2300.0,PPO_CANDIDATE,2,0.7764688558386099,42.184,1175.589768510738,0.6713933415536375,1223.661526147498,43.56,0.6713933415536375
NSFNET,0-4_1-4_3-12,9,burst,480.0,580.0,1700.0,2300.0,SP,3,0.20148137064192728,10.772,1285.426530495218,0.17488494411571334,1285.4515612659595,10.64,0.17488494411571334
NSFNET,0-4_1-4_3-12,9,burst,480.0,580.0,1700.0,2300.0,ECMP,3,0.4090977106090079,21.872,868.0868348046835,0.38297172912557526,868.1019404725891,23.3,0.38297172912557526
NSFNET,0-4_1-4_3-12,9,burst,480.0,580.0,1700.0,2300.0,HIER_STAGE3,3,0.5974113422115817,31.94,853.4765041419076,0.5364891518737672,797.9323563809024,32.64,0.5364891518737672
NSFNET,0-4_1-4_3-12,9,burst,480.0,580.0,1700.0,2300.0,PPO_CANDIDATE,3,0.7894658087685171,42.208,1171.3476106100202,0.7064431295200526,1200.3049031676821,42.98,0.7064431295200526
NSFNET,0-4_1-4_3-12,9,burst,480.0,580.0,1700.0,2300.0,SP,4,0.19837338262476895,10.732,1285.4392871027042,0.17721518987341772,1285.4555793248753,11.2,0.17721518987341772
